Parts,Package,Package Size,Configuration Type,Feature,Number of Lines,VRWM MAX (V),Cj (Typ) (pF),IPP (A) at 8/20Âµsec,VClamp (V) at Ipp 8/20Âµsec,VBR (Min)(V),IEC61000-4-2 (ESD) contact discharge,IEC61000-4-2 (ESD) air discharge, Working Voltage, Interface
"RClamp03348P","DFN3810-9","3.8 x 1.0 x 0.5","Array","Low capacitance","8","3.30","0.20","3.80","9.00","0.00","14","16","1V - 3.6V",""
"RClamp03371P","DFN1006-2","1.0 x 0.6 x 0.55","Bidirectional","Low capacitance","1","3.30","0.23","6.00","6.00","3.90","8","20","1V - 3.6V","Ethernet"
"uClamp5591P","DFN1006-2","1.0 x 0.6 x 0.55","Bidirectional","General purpose ESD protection","1","5.50","40.00","20.00","11.50","6.00","20","20","4V - 5.5V","VBUS"
"EClamp0501T","DFN1006-3","1.0 x 0.6 x 0.4","Filter","ESD & EMI filter devices","1","5.00","12.00","2.00","0.00","0.00","12","17","4V - 5.5V",""
"EClamp0504T","DFN2116-8","2.1 x 1.6 x 0.4","Filter","ESD & EMI filter devices","4","5.00","12.00","2.00","0.00","6.00","12","17","4V - 5.5V",""
"EClamp10012PQ","DFN2010-5","2.0 x 1.0 x 0.6","Bidirectional","Automotive","2","30.00","1.20","3.00","25.00","105.00","12","17","13V - 33V","Automotive Ethernet"
"EClamp2122S","SOT23-6","2.9 x 2.8 x 1.45","Filter","General purpose ESD protection","2","5.25","30.00","3.00","11.00","6.00","20","25","4V - 5.5V",""
"EClamp2342N","DFN3030-16","3.0 x 3.0 x 1.0","Filter","ESD & EMI filter devices","8","5.00","12.00","0.00","0.00","0.00","12","17","4V - 5.5V",""
"EClamp2357NQ","DFN3030-16","3.0 x 3.0 x 1.0","Filter","Automotive","6","5.00","12.00","1.50","9.00","6.00","12","20","4V - 5.5V","Automotive High Speed"
"EClamp2374K","DFN1713-8","1.7 x 1.3 x 0.5","Filter","ESD & EMI filter devices","4","5.00","11.00","0.00","0.00","0.00","12","17","4V - 5.5V",""
"EClamp2374KQ","DFN1713-8","1.7 x 1.3 x 0.5","Filter","Automotive","4","5.00","11.00","1.50","9.30","6.00","12","17","4V - 5.5V","Automotive High Speed"
"EClamp2374P","DFN2116-8","2.1 x 1.6 x 0.58","Filter","ESD & EMI filter devices","4","5.00","11.00","0.00","0.00","6.00","12","17","4V - 5.5V",""
"EClamp2376K","DFN2513-12","2.5 x 1.3 x 0.5","Filter","ESD & EMI filter devices","6","5.00","11.00","0.00","0.00","6.00","12","17","4V - 5.5V",""
"EClamp2376P","DFN3016-12","3.0 x 1.6 x 0.58","Filter","ESD & EMI filter devices","6","5.00","11.00","0.00","0.00","6.00","12","17","4V - 5.5V",""
"EClamp2378K","DFN3313-16","3.3 x 1.3 x 0.5","Filter","ESD & EMI filter devices","8","5.00","11.00","0.00","0.00","0.00","12","17","4V - 5.5V",""
"EClamp2378P","DFN4016-16","4.0 x 1.6 x 0.58","Filter","ESD & EMI filter devices","8","5.00","11.00","0.00","0.00","0.00","12","17","4V - 5.5V",""
"EClamp2384K","DFN1713-8","1.7 x 1.3 x 0.5","Filter","ESD & EMI filter devices","4","5.00","12.00","0.00","0.00","0.00","12","17","4V - 5.5V",""
"EClamp2384P","DFN2116-8","2.1 x 1.6 x 0.58","Filter","ESD & EMI filter devices","4","5.00","12.00","0.00","0.00","0.00","12","17","4V - 5.5V",""
"EClamp2386K","DFN2513-12","2.5 x 1.3 x 0.5","Filter","ESD & EMI filter devices","6","5.00","12.00","0.00","0.00","0.00","12","17","4V - 5.5V",""
"EClamp2386P","DFN3016-12","3.0 x 1.6 x 0.58","Filter","ESD & EMI filter devices","6","5.00","12.00","0.00","0.00","0.00","12","17","4V - 5.5V",""
"EClamp2388K","DFN3313-16","3.3 x 1.3 x 0.5","Filter","ESD & EMI filter devices","8","5.00","12.00","0.00","0.00","0.00","12","17","4V - 5.5V",""
"EClamp2388P","DFN4016-16","4.0 x 1.6 x 0.58","Filter","ESD & EMI filter devices","8","5.00","12.00","0.00","0.00","0.00","12","17","4V - 5.5V",""
"EClamp2394P","DFN2116-8","2.1 x 1.6 x 0.58","Filter","ESD & EMI filter devices","4","5.00","12.00","0.00","0.00","0.00","15","20","4V - 5.5V",""
"EClamp2396P","DFN3016-12","3.0 x 1.6 x 0.58","Filter","ESD & EMI filter devices","6","5.00","12.00","0.00","0.00","6.00","15","20","4V - 5.5V",""
"EClamp2398P","DFN4016-16","4.0 x 1.6 x 0.58","Filter","ESD & EMI filter devices","8","5.00","12.00","0.00","0.00","0.00","15","20","4V - 5.5V",""
"EClamp2410P","DFN4016-16","4.0 x 1.6 x 0.58","Filter","ESD & EMI filter devices","6","5.00","12.00","0.00","0.00","0.00","12","17","4V - 5.5V",""
"EClamp2410PQ","DFN4016-16","4.0 x 1.6 x 0.58","Filter","Automotive","6","5.00","12.00","1.50","9.50","6.00","12","17","4V - 5.5V",""
"EClamp2454P","DFN2116-8","2.1 x 1.6 x 0.58","Filter","ESD & EMI filter devices","4","5.00","12.00","0.00","0.00","0.00","15","20","4V - 5.5V",""
"EClamp2455K","DFN1713-8","1.7 x 1.3 x 0.5","Filter","ESD & EMI filter devices","4","5.00","20.00","0.00","0.00","0.00","12","18","4V - 5.5V",""
"EClamp2455P","DFN2116-8","2.1 x 1.6 x 0.58","Filter","ESD & EMI filter devices","4","5.00","20.00","0.00","0.00","0.00","12","18","4V - 5.5V",""
"EClamp2456P","DFN3016-12","3.0 x 1.6 x 0.58","Filter","ESD & EMI filter devices","6","5.00","12.00","0.00","0.00","0.00","15","20","4V - 5.5V",""
