Applications,Part Number,Package, Reverse Working  Voltage (V), Capacitance (pF), Leakage Current (µA), Peak Pulse Current  8/20 µs (*10/1000 µs)  acc. IEC 61000-4-5  (A), Peak Pulse  Power 8/20 µs  acc. IEC 61000- 4-5 (W), Protectable  Lines, ESD Immunity  acc. IEC 61000-4- 2(kV), Max. Operating  Junction Temperature  (°C), AEC-Q101  Qualified
"Audio Applications,RS232","GMF05C-HSF","LLP75-6L","5","126","1","12","200","5","± 30","125","No"
"","SMF10A","SMF (DO-219AB)","10","562","0.1","11.8","1000","1","± 30","175","Yes"
"","SMF10A","SMF (DO-219AB)","10","562","0.1","11.8","1000","1","± 30","175","Yes"
"","SMF11A","SMF (DO-219AB)","11","509","0.1","11","1000","1","± 30","175","Yes"
"","SMF11A","SMF (DO-219AB)","11","509","0.1","11","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF12A","SMF (DO-219AB)","12","483","0.1","10.1","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF12A","SMF (DO-219AB)","12","483","0.1","10.1","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF13A","SMF (DO-219AB)","13","423","0.1","9.3","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF13A","SMF (DO-219AB)","13","423","0.1","9.3","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF14A","SMF (DO-219AB)","14","392","0.1","8.6","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF14A","SMF (DO-219AB)","14","392","0.1","8.6","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF15A","SMF (DO-219AB)","15","367","0.1","8.2","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF15A","SMF (DO-219AB)","15","367","0.1","8.2","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF16A","SMF (DO-219AB)","16","343","0.1","7.7","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF16A","SMF (DO-219AB)","16","343","0.1","7.7","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF17A","SMF (DO-219AB)","17","324","0.1","7.2","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF17A","SMF (DO-219AB)","17","324","0.1","7.2","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF18A","SMF (DO-219AB)","18","320","0.1","6.8","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF18A","SMF (DO-219AB)","18","320","0.1","6.8","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF20A","SMF (DO-219AB)","20","283","0.1","6.2","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF20A","SMF (DO-219AB)","20","283","0.1","6.2","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF22A","SMF (DO-219AB)","22","271","0.1","5.6","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF22A","SMF (DO-219AB)","22","271","0.1","5.6","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF24A","SMF (DO-219AB)","24","244","0.1","5.1","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF24A","SMF (DO-219AB)","24","244","0.1","5.1","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF26A","SMF (DO-219AB)","26","230","0.1","4.8","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF26A","SMF (DO-219AB)","26","230","0.1","4.8","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF28A","SMF (DO-219AB)","28","227","0.1","4.4","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF28A","SMF (DO-219AB)","28","227","0.1","4.4","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF30A","SMF (DO-219AB)","30","207","0.1","4.1","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF30A","SMF (DO-219AB)","30","207","0.1","4.1","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF33A","SMF (DO-219AB)","33","198","0.1","3.8","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF33A","SMF (DO-219AB)","33","198","0.1","3.8","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF36A","SMF (DO-219AB)","36","178","0.1","3.4","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF36A","SMF (DO-219AB)","36","178","0.1","3.4","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF40A","SMF (DO-219AB)","40","172","0.1","3.1","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF40A","SMF (DO-219AB)","40","172","0.1","3.1","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF43A","SMF (DO-219AB)","43","165","0.1","2.9","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF43A","SMF (DO-219AB)","43","165","0.1","2.9","1000","1","± 30","175","Yes"
"Audio Applications,RS232","SMF45A","SMF (DO-219AB)","45","162","0.1","2.8","1000","1","± 30","175","Yes"
