Part,Manufacturer,Package,Vrwm,Vclamp,Capacitance,Channels,Direction,Grade,Type,Ipp,IEC42_kV,IEC45_A
DALC208,STMicroelectronics,SOT23-6L,5,,7,,Unidirectional,Commercial,TVS/ESD,,8,
DALC208SC6Y,STMicroelectronics,SOT23-6L,1.2,,7,,Unidirectional,Automotive,TVS/ESD,,8,
DSILC6-4xx,STMicroelectronics,"CSP P 0.5 mm, SOT666",5,,1.5,,Unidirectional,Commercial,TVS/ESD,,8,
ESD051-1BF4,STMicroelectronics,ST0201,5,,45,,Bidirectional,Commercial,TVS/ESD,,30,
ESDA051-1JY,STMicroelectronics,SOD323,5,,190,,Unidirectional,Automotive,TVS/ESD,,30,
ESDA14V2BP6,STMicroelectronics,SOT666,12,,25,,Bidirectional,Commercial,TVS/ESD,,8,
ESDA14V2LY,STMicroelectronics,SOT23-3L,12,,90,,Unidirectional,Automotive,TVS/ESD,,30,
ESDA14V2SC6,STMicroelectronics,SOT23-6L,12,,100,,Unidirectional,Commercial,TVS/ESD,,30,
ESDA14WY,STMicroelectronics,SOT323,12,17.5,125,,Unidirectional,Automotive,TVS/ESD,,30,
ESDA18WY,STMicroelectronics,SOT323,16,21.7,120,,Unidirectional,Automotive,TVS/ESD,,30,
ESDA19SC6,STMicroelectronics,SOT23-6L,15,,80,,Unidirectional,Commercial,TVS/ESD,,30,
ESDA25-4BP6,STMicroelectronics,SOT666,24,,22,,Bidirectional,Commercial,TVS/ESD,,8,
ESDA25LY,STMicroelectronics,SOT23-3L,24,,50,,Unidirectional,Automotive,TVS/ESD,,30,
ESDA25SC6Y,STMicroelectronics,SOT23-6L,24,,60,,Unidirectional,Automotive,TVS/ESD,,,
ESDA37LY,STMicroelectronics,SOT-23,36,,48,,Unidirectional,Automotive,TVS/ESD,,30,
ESDA37W,STMicroelectronics,SOT323,36,,48,,Unidirectional,Commercial,TVS/ESD,,25,
ESDA37WY,STMicroelectronics,SOT323,36,,48,,Unidirectional,Automotive,TVS/ESD,,25,
ESDA5-1F4,STMicroelectronics,ST0201,5.5,,110,,Unidirectional,Commercial,TVS/ESD,,30,
ESDA5V3LY,STMicroelectronics,SOT23-3L,3,,220,,Unidirectional,Automotive,TVS/ESD,,30,
ESDA5V3SC5,STMicroelectronics,SOT23-5L,3,,320,,Unidirectional,Commercial,TVS/ESD,,30,
ESDA5V3SC6,STMicroelectronics,SOT23-6L,3,,280,,Unidirectional,Commercial,TVS/ESD,,30,
ESDA5V3SC6Y,STMicroelectronics,SOT23-6L,3,,280,,Unidirectional,Automotive,TVS/ESD,,,
ESDA5WY,STMicroelectronics,SOT323,5.5,14,4,,Unidirectional,Automotive,TVS/ESD,,25,
ESDA6V1-4BC6,STMicroelectronics,SOT23-6L,3,,45,,Bidirectional,Commercial,TVS/ESD,,8,
ESDA6V1-5SC6,STMicroelectronics,SOT23-6L,3,,50,,Unidirectional,Commercial,TVS/ESD,,15,
ESDA6V1-5SC6Y,STMicroelectronics,SOT23-6L,5.2,,50,,Unidirectional,Automotive,TVS/ESD,,18,
ESDA6V1BC6,STMicroelectronics,SOT23-6L,5,,20,,Bidirectional,Commercial,TVS/ESD,,8,
ESDA6V1LY,STMicroelectronics,SOT23-3L,5.25,,140,,Unidirectional,Automotive,TVS/ESD,,30,
ESDA6V1SC5,STMicroelectronics,SOT23-5L,5.25,,190,,Unidirectional,Commercial,TVS/ESD,,30,
ESDA6V1SC6,STMicroelectronics,SOT23-6L,5.25,,190,,Unidirectional,Commercial,TVS/ESD,,30,
ESDA6V1U1,STMicroelectronics,SO-8,5,,100,,Unidirectional,Commercial,TVS/ESD,,8,
ESDAL,STMicroelectronics,"SOT-23, SOT23-3L",24,,10,,Unidirectional,Commercial,TVS/ESD,,9,
ESDALC20-1BF4,STMicroelectronics,ST0201,20,,10.5,,Bidirectional,Commercial,TVS/ESD,,20,
ESDALC6V1-5P6,STMicroelectronics,SOT666,3,,12,,Unidirectional,Commercial,TVS/ESD,,8,
ESDALC6V1Px,STMicroelectronics,"SOT-665, SOT666",3,,7.5,,Unidirectional,Commercial,TVS/ESD,,8,
ESDALC6V1W,STMicroelectronics,SOT323-5L,3,,7.5,,Unidirectional,Commercial,TVS/ESD,,8,
ESDALCL6-2SC6,STMicroelectronics,SOT23-6L,1,,2.5,,Unidirectional,Commercial,TVS/ESD,,15,
ESDALCL6-4P6A,STMicroelectronics,SOT666,1,,,,Unidirectional,Commercial,TVS/ESD,,15,
ESDAULC6-3BP6,STMicroelectronics,SOT666,5,,,,Bidirectional,Commercial,TVS/ESD,,15,
ESDAVLC6-2BLY,STMicroelectronics,SOT23-3L,5,,0.95,,Bidirectional,Automotive,TVS/ESD,,10,
ESDAxxxWx,STMicroelectronics,"SOT323, SOT323-5L, SOT323-6L",24,,50,,Unidirectional,Commercial,TVS/ESD,,8,
ESDCAN01-2BLY,STMicroelectronics,SOT23-3L,24,,25,,Bidirectional,Automotive,TVS/ESD,,30,
ESDCAN02-2BWY,STMicroelectronics,SOT323,26.5,,3,,Bidirectional,Automotive,TVS/ESD,,30,
ESDCAN03-2BWY,STMicroelectronics,SOT323,24,,3,,Bidirectional,Automotive,TVS/ESD,,30,
ESDCAN04-2BLY,STMicroelectronics,SOT-23,25.5,,17,,Bidirectional,Automotive,TVS/ESD,,30,
ESDCAN04-2BWY,STMicroelectronics,SOT323,25.5,,17,,Bidirectional,Automotive,TVS/ESD,,30,
ESDCAN05-2BWY,STMicroelectronics,SOT323,36,,3,,Bidirectional,Automotive,TVS/ESD,,30,
ESDCAN06-2BLY,STMicroelectronics,SOT-23,35,,13,,Bidirectional,Automotive,TVS/ESD,,30,
ESDCAN06-2BWY,STMicroelectronics,SOT323,35,,13,,Bidirectional,Automotive,TVS/ESD,,30,
ESDCAN24-2BLY,STMicroelectronics,SOT23-3L,24,,25,,Bidirectional,Automotive,TVS/ESD,,30,
ESDL031-1BF4,STMicroelectronics,ST0201,3.3,6.3,10,,Bidirectional,Commercial,TVS/ESD,,25,
ESDLIN03-1BWY,STMicroelectronics,SOT323,26.5,,3,,Bidirectional,Automotive,TVS/ESD,,30,
ESDLIN1524BJ,STMicroelectronics,SOD323,24,,16,,Bidirectional,Automotive,TVS/ESD,,30,
ESDZL5-1F4,STMicroelectronics,ST0201,5.5,8.5,7.5,,Unidirectional,Commercial,TVS/ESD,,15,
ESDZV053-1BF5,STMicroelectronics,ST01005,5.5,9.2,4.5,,Bidirectional,Commercial,TVS/ESD,,16,
ESDZV5-1BF4,STMicroelectronics,ST0201,5.5,7,6,,Bidirectional,Commercial,TVS/ESD,,18,
ESDZV5-1BU2,STMicroelectronics,CSPS BUMPLESS  COATING,5.5,7,6,,Bidirectional,Commercial,TVS/ESD,,18,
ESDZV5-1BV2,STMicroelectronics,ST01005,5.5,7.8,5,,Bidirectional,Commercial,TVS/ESD,,15,
ESDZV5H-1BU2,STMicroelectronics,CSPS BUMPLESS  COATING,5.5,10,4,,Bidirectional,Commercial,TVS/ESD,,14,
ESDZV5HS-1BF4,STMicroelectronics,ST0201,5.5,10.2,4,,Bidirectional,Commercial,TVS/ESD,,10,
ESDZX168B-1BF4,STMicroelectronics,ST0201,16,32,0.11,,Bidirectional,Commercial,TVS/ESD,,12,
HSP051-2W3Y,STMicroelectronics,SOT323,5,17.5,0.7,,Unidirectional,Automotive,TVS/ESD,,12,
HSP053-4M5,STMicroelectronics,QFN-5L,5,19,0.25,,Unidirectional,Commercial,TVS/ESD,,10,
USB6B1,STMicroelectronics,SO-8,5.25,,25,,Unidirectional,Commercial,TVS/ESD,,8,
USBLC6-2,STMicroelectronics,"SOT23-6L, SOT666",5.25,,2.5,,Unidirectional,Commercial,TVS/ESD,,15,
USBLC6-2SC6Y,STMicroelectronics,SOT23-6L,5.25,,2.5,,Unidirectional,Automotive,TVS/ESD,,15,
USBLC6-4,STMicroelectronics,SOT23-6L,5.25,,3,,Unidirectional,Commercial,TVS/ESD,,15,
USBLC6-4SC6Y,STMicroelectronics,SOT23-6L,5.25,,3,,Unidirectional,Automotive,TVS/ESD,,15,
ESDA-1K,STMicroelectronics,SOD-523,15,,,,Unidirectional,Commercial,TVS/ESD,,,
ESDALC14-1BF4,STMicroelectronics,ST0201,12,,22,,Bidirectional,Commercial,TVS/ESD,,25,
ESDALC14V2-1U2,STMicroelectronics,ST0201,12,,6,,Unidirectional,Commercial,TVS/ESD,,8,
ESDALC5-1BM2,STMicroelectronics,SOD-882,5,,26,,Bidirectional,Commercial,TVS/ESD,,30,
ESDALC6V1-1BU2,STMicroelectronics,ST0201,3,,5,,Bidirectional,Commercial,TVS/ESD,,8,
ESDALC6V1-1U2,STMicroelectronics,ST0201,3,,12,,Unidirectional,Commercial,TVS/ESD,,8,
ESDAVLC5-4BX4,STMicroelectronics,ST0201,3,,8,,Bidirectional,Commercial,TVS/ESD,,16,
ESDAXLC6-1BT2Y,STMicroelectronics,SOD-882,3,,0.4,,Bidirectional,Automotive,TVS/ESD,,16,
ESDL20-1BF4,STMicroelectronics,ST0201,20,36,13,,Bidirectional,Commercial,TVS/ESD,,20,
ESDV5-1BF4,STMicroelectronics,ST0201,5.5,18,5,,Bidirectional,Commercial,TVS/ESD,,12,
ESDZV18-1BF4,STMicroelectronics,ST0201,16,21.5,3,,Bidirectional,Commercial,TVS/ESD,,30,
ESDXLC6-1BT2Y,STMicroelectronics,SOD-882,3,,0.3,,Bidirectional,Commercial,TVS/ESD,,20,
BZA408B,Nexperia,TSOP6,5.0,,,4.0,Bidirectional,Commercial,TVS/ESD,,15.0,
